round,win
0,1
1,2
2,0
3,0
4,1
5,0
6,2
7,2
8,1
9,2
10,0
11,2
12,2
13,1
14,1
15,0
16,1
17,2
18,1
19,2
20,2
21,2
22,1
23,2
24,2
25,1
26,1
27,1
28,1
29,2
30,2
31,1
32,2
33,0
34,2
35,0
36,1
37,1
38,2
39,1
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,0
49,1
50,2
51,2
52,1
53,1
54,2
55,2
56,2
57,0
58,2
59,0
60,2
61,2
62,2
63,0
64,1
65,2
66,2
67,1
68,2
69,0
70,0
71,1
72,1
73,1
74,2
75,2
76,2
77,0
78,2
79,1
80,1
81,2
82,2
83,1
84,1
85,1
86,1
87,1
88,1
89,2
90,2
91,2
92,1
93,1
94,2
95,2
96,2
97,2
98,2
99,1
100,2
101,1
102,1
103,1
104,2
105,2
106,1
107,2
108,1
109,1
110,2
111,2
112,2
113,2
114,2
115,0
116,0
117,2
118,2
119,2
120,1
121,1
122,2
123,1
124,0
125,1
126,1
127,1
128,2
129,2
130,2
131,2
132,0
133,1
134,1
135,2
136,2
137,2
138,2
139,1
140,1
141,2
142,1
143,1
144,2
145,2
146,2
147,1
148,0
149,2
150,0
151,2
152,1
153,2
154,1
155,1
156,2
157,0
158,2
159,1
160,1
161,2
162,0
163,2
164,1
165,2
166,2
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,2
175,2
176,0
177,1
178,0
179,2
180,1
181,2
182,1
183,2
184,2
185,2
186,2
187,2
188,0
189,1
190,1
191,1
192,2
193,2
194,1
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,1
205,1
206,1
207,2
208,1
209,1
210,1
211,1
212,0
213,0
214,0
215,2
216,2
217,2
218,0
219,1
220,2
221,2
222,1
223,2
224,2
225,2
226,2
227,1
228,2
229,1
230,2
231,2
232,1
233,0
234,0
235,1
236,2
237,1
238,2
239,2
240,2
241,1
242,2
243,2
244,1
245,1
246,2
247,1
248,2
249,1
250,2
251,2
252,2
253,0
254,2
255,1
256,1
257,0
258,1
259,0
260,2
261,2
262,1
263,2
264,1
265,2
266,1
267,2
268,1
269,1
270,1
271,2
272,2
273,1
274,2
275,2
276,2
277,2
278,1
279,1
280,1
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,0
289,2
290,0
291,2
292,2
293,2
294,0
295,0
296,2
297,2
298,2
299,2
